"Commodity Code"|"Country or Area Code"|"Country or Area"|"Transaction Code"|"Commodity - Transaction Code"|"Commodity - Transaction"|"Year"|"Unit"|"Quantity"|"Quantity Footnotes"
"ES"|"12"|"Algeria"|"01"|"ES01"|"Electricity - total solar production"|"2016"|"Kilowatt-hours, million"|"87"|"1"
"ES"|"12"|"Algeria"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"58"|""
"ES"|"16"|"American Samoa"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"1.5"|""
"ES"|"16"|"American Samoa"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"1.1"|"1"
"ES"|"16"|"American Samoa"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"1.1"|"1"
"ES"|"16"|"American Samoa"|"01"|"ES01"|"Electricity - total solar production"|"2012"|"Kilowatt-hours, million"|"1.1"|""
"ES"|"28"|"Antigua and Barbuda"|"01"|"ES01"|"Electricity - total solar production"|"2011"|"Kilowatt-hours, million"|"5"|""
"ES"|"28"|"Antigua and Barbuda"|"01"|"ES01"|"Electricity - total solar production"|"2010"|"Kilowatt-hours, million"|"5"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"15"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"16"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"15"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2012"|"Kilowatt-hours, million"|"8"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2011"|"Kilowatt-hours, million"|"2"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2010"|"Kilowatt-hours, million"|"0.09"|""
"ES"|"32"|"Argentina"|"01"|"ES01"|"Electricity - total solar production"|"2009"|"Kilowatt-hours, million"|"0.08"|""
"ES"|"51"|"Armenia"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"1"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"5968"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"4858"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"3826"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2012"|"Kilowatt-hours, million"|"2559"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2011"|"Kilowatt-hours, million"|"1530"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2010"|"Kilowatt-hours, million"|"426"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2009"|"Kilowatt-hours, million"|"160"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2008"|"Kilowatt-hours, million"|"127"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2007"|"Kilowatt-hours, million"|"109"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2006"|"Kilowatt-hours, million"|"91"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2005"|"Kilowatt-hours, million"|"79"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2004"|"Kilowatt-hours, million"|"69"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2003"|"Kilowatt-hours, million"|"59"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2002"|"Kilowatt-hours, million"|"50"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2001"|"Kilowatt-hours, million"|"44"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"2000"|"Kilowatt-hours, million"|"38"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1999"|"Kilowatt-hours, million"|"34"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1998"|"Kilowatt-hours, million"|"28"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1997"|"Kilowatt-hours, million"|"23"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1996"|"Kilowatt-hours, million"|"19"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1995"|"Kilowatt-hours, million"|"16"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1994"|"Kilowatt-hours, million"|"13"|""
"ES"|"36"|"Australia"|"01"|"ES01"|"Electricity - total solar production"|"1993"|"Kilowatt-hours, million"|"11"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"937"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"785"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"582"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2012"|"Kilowatt-hours, million"|"337"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2011"|"Kilowatt-hours, million"|"174"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2010"|"Kilowatt-hours, million"|"89"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2009"|"Kilowatt-hours, million"|"49"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2008"|"Kilowatt-hours, million"|"30"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2007"|"Kilowatt-hours, million"|"24"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2006"|"Kilowatt-hours, million"|"22"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2005"|"Kilowatt-hours, million"|"21"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2004"|"Kilowatt-hours, million"|"18"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2003"|"Kilowatt-hours, million"|"15"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2002"|"Kilowatt-hours, million"|"9"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2001"|"Kilowatt-hours, million"|"5"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"2000"|"Kilowatt-hours, million"|"3"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1999"|"Kilowatt-hours, million"|"2"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1998"|"Kilowatt-hours, million"|"2"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1997"|"Kilowatt-hours, million"|"2"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1996"|"Kilowatt-hours, million"|"1"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1995"|"Kilowatt-hours, million"|"1"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1994"|"Kilowatt-hours, million"|"1"|""
"ES"|"40"|"Austria"|"01"|"ES01"|"Electricity - total solar production"|"1993"|"Kilowatt-hours, million"|"1"|""
"ES"|"31"|"Azerbaijan"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"5"|""
"ES"|"31"|"Azerbaijan"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"3"|""
"ES"|"31"|"Azerbaijan"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"1"|""
"ES"|"50"|"Bangladesh"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"154"|""
"ES"|"50"|"Bangladesh"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"145"|""
"ES"|"50"|"Bangladesh"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"136"|""
"ES"|"112"|"Belarus"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"3"|""
"ES"|"112"|"Belarus"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"1"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"3065"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"2883"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2013"|"Kilowatt-hours, million"|"2644"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2012"|"Kilowatt-hours, million"|"2148"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2011"|"Kilowatt-hours, million"|"1169"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2010"|"Kilowatt-hours, million"|"560"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2009"|"Kilowatt-hours, million"|"166"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2008"|"Kilowatt-hours, million"|"42"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2007"|"Kilowatt-hours, million"|"6"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2006"|"Kilowatt-hours, million"|"2"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2005"|"Kilowatt-hours, million"|"1"|""
"ES"|"56"|"Belgium"|"01"|"ES01"|"Electricity - total solar production"|"2004"|"Kilowatt-hours, million"|"1"|""
"ES"|"204"|"Benin"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"5"|""
"ES"|"68"|"Bolivia (Plur. State of)"|"01"|"ES01"|"Electricity - total solar production"|"2015"|"Kilowatt-hours, million"|"11"|""
"ES"|"68"|"Bolivia (Plur. State of)"|"01"|"ES01"|"Electricity - total solar production"|"2014"|"Kilowatt-hours, million"|"6"|""
